Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Banana Oats Coklat,"['Roti & Produk Panggang', 'Makanan Penutup', 'Makanan Ringan', 'Makan Pagi']",2 porsi,10 menit,20 menit,"['61 gram telur', '1 sdt ekstrak vanila', '157 gram pisang', '1 sdt baking soda', '11 gram kakao bubuk (tanpa gula)', '6 g unsalted butter', '49 g oat', '200 ml susu uht low fat', '6 g choco chips']","['Haluskan pisang.', 'Tambahkan oat, coklat bubuk, vanilla, dan baking soda, lalu aduk.', 'Setelah adonan tercampur rata, masukkan susu, telur dan mentega cair.', 'Tuang ke dalam cetakan yang dialasi kertas roti dan taburi choco chips.', 'Panggang dengan suhu 180°C selama 20 menit.']",1316 kj,"10,7g","12,27g","45,52g",314 kkal,"4,977g","0,1g","0,498g","2,488g",140mg,"6,4g","11,6g",728mg,584mg
Wafel,"['Makanan Ringan', 'Makan Pagi']",5 porsi,10 menit,20 menit,"['240 ml susu', '1/2 besar telur', '120 gram tepung putih', '1/2 sdt garam', '1/2 sdt ekstrak vanila', '10 gram gula pasir', '60 g mentega tawar', '20 g tepung pati jagung', '2 g bubuk pengembang']","['Hangatkan susu tapi tidak mendidih, tambahkan butter, aduk hingga butter meleleh, sisihkan.', 'Campur bahan kering jadi satu.', 'Tambahkan telur ke dalam susu lalu masukkan ekstrak vanili.', 'Campur semuanya sampai halus. Diamkan selama 15 menit.', 'Masak dalam waffle iron hingga berwarna keemasan.', 'Sajikan dengan buah atau topping yang Anda inginkan.']",967 kj,"11,32g","4,78g","26,41g",231 kkal,"7,194g","0,4g","0,218g","0,475g",49mg,"0,6g","4,71g",260mg,106mg
Tumis Kubis,['Lauk Pauk'],4 porsi,15 menit,15 menit,"['400 gram kubis hijau', '30 gram cabai merah atau rawit', '20 gram bawang putih', '1 kecil utuh tomat merah', '20 gram gula merah', '45 gram bawang merah', '3 g kaldu jamur', '2 gram udang rebon', '1/2 sdm saus tiram']","['Potong sayuran sesuai ukuran yang diinginkan.', 'Tumis bawang merah dan bawang putih dalam wajan yang diolesi sedikit minyak.', 'Tambahkan bahan lainnya satu per satu.', 'Tuang air secukupnya dan tutup. Masak hingga matang.']",371 kj,"1,55g","3,4g","19,17g",89 kkal,"0,28g",0g,"0,742g","0,233g",0mg,"4,9g","10,8g",139mg,505mg
Jus Hijau,['Minuman'],2 porsi,15 menit,0 menit,"['1/2 lemon', '75 gram pepaya', '77 gram nanas', '35 gram wortel', '150 ml air', '88 gram melon', '40 gram pakcoy']","['Peras jus dari lemon.', 'Campur semua bahan dalam blender.', 'Sajikan dalam gelas.']",255 kj,"0,28g","1,26g","15,56g",61 kkal,"0,057g",0g,"0,103g","0,026g",0mg,"2,7g","10,62g",24mg,358mg
Kue Oat Pisang,"['Roti & Produk Panggang', 'Makanan Penutup', 'Makanan Ringan', 'Makan Pagi']",11 porsi,15 menit,30 menit,"['100 g telur', '1 porsi minyak nabati', '250 g oat', '45 ml low fat milk', '30 g choco chips', '200 gram pisang raja']","['Haluskan pisang raja.', 'Tambahkan telur, minyak, dan susu. Campur dengan baik.', 'Tambahkan oat giling dan 15g keping cokelat, lalu aduk rata.', 'Tuang adunan ke dalam acuan dan hiaskan baki choco chips. Bakar selama kira-kira 30 minit pada suhu 150°C.', 'Biarkan dingin lalu iris.']",638 kj,"4,96g","4,04g","23,24g",153 kkal,"0,813g",0g,"0,748g","1,743g",39mg,"2,7g","4,9g",31mg,75mg
Kue Pisang Kukus,"['Makanan Ringan', 'Makanan Penutup', 'Makan Pagi']",12 porsi,15 menit,25 menit,"['170 gram putih telur', '270 gram pisang', '10 gram chia seed', '5 gram kacang almond', '1 sdt, bongkahan gula merah', '75 g salted butter', '120 g oatmeal rolled oats', '75 g palm sugar', '60 g dark chocolate chips', '27 g susu']","['Kocok putih telur dengan 2 gula.', 'Masukkan pisang lecek, oat, dan biji chia.', 'Tambahkan mentega cair dan susu. Campur dengan baik.', 'Tempatkan ke dalam cetakan dan hiasi dengan keping cokelat dan almond cincang. Kukus selama 25 menit.']",759 kj,"9,44g","4,32g","21,89g",181 kkal,"3,894g","0,238g","0,595g","0,659g",14mg,"3,7g","10,98g",71mg,114mg
Ayam dengan Jagung dan Kacang,"['Makan Siang', 'Hidangan Utama']",1 porsi,10 menit,10 menit,"['8 gram cabai merah atau rawit', '69 gram daging dada ayam (ayam pedaging, dipanggang, dimasak)', '27 gram buncis', '50 gram jagung manis kuning', '7 gram bawang putih']","['Hancurkan bawang putih dan merica.', 'Panaskan tempel dalam wajan antilengket lalu tambahkan ayam. Tambahkan air sesuai kebutuhan.', 'Masukkan jagung dan buncis. Didihkan selama 5 menit.', 'Sajikan di atas piring.']",837 kj,"4,5g","24,91g","18,28g",200 kkal,"1,062g",0,"1,514g","1,252g",59mg,"4,6g","2,89g",64mg,557mg
Sup Sosis dengan Sayuran,"['Sup', 'Makan Siang']",1 porsi,10 menit,15 menit,"['1 besar telur', '100 gram buncis', '100 gram wortel', '65 g sosis sapi & ayam']","['Rebus air secukupnya lalu masukkan irisan sayuran.', 'Masukkan irisan sosis dan telur kocok.', 'Bumbui sesuai keinginan dan masak selama 5 menit.']",1071 kj,"11,33g","19,04g","21,09g",256 kkal,"3,613g",0g,"0,858g","1,924g",212mg,"6,2g","6,32g",745mg,596mg
Tahu Dihancurkan dengan Telur Orak Arik,"['Makan Pagi', 'Makan Siang']",4 porsi,10 menit,20 menit,"['110 gram telur', '16 gram cabai merah atau rawit', '10 gram bawang putih', '30 gram daun bawang', '2 sdm minyak goreng', '232 gram tahu', '35 gram bawang bombay']","['Tuangkan minyak, kemudian tumis bawang putih, bawang bombay, dan rawit.', 'Setelah berwarna sedikit kecoklatan, masukkan telur dan diorak arik.', 'Tambahkan tahu dan hancurkan. Tuangkan air secukupnya.', 'Bumbui sesuai selera.', 'Masukkan bawang daun dan sajikan.']",651 kj,"11,34g","8,91g","6,43g",156 kkal,"3,326g",0,"3,615g","3,106g",116mg,"1,6g","1,55g",48mg,221mg
Sop Tulang Iga Sapi,"['Sup', 'Makan Siang', 'Hidangan Utama']",2 porsi,10 menit,40 menit,"['100 gram tomat', '100 gram wortel', '100 gram iga sapi (potongan kecil, diiris hingga 0.3 cm lemak)']","['Rebus daging sapi dengan air secukupnya selama 30 menit.', 'Tambahkan irisan sayuran dan isi air sesuai kebutuhan.', 'Bumbui sesuai selera dan masak hingga empuk.', 'Sajikan dalam mangkuk dan hiasi sesuai keinginan.']",655 kj,"9,75g","10,57g","6,75g",156 kkal,"3,888g",0g,"0,488g","4,114g",35mg,2g,"3,58g",62mg,426mg
Ikan Tongkol Asam Pedas,"['Makan Siang', 'Hidangan Utama']",4 porsi,25 menit,45 menit,"['1 sdm cabai merah atau rawit', '100 gram asam jawa', '1 siung bawang putih', '1 kecil bawang merah', '100 gram ikan tongkol']","['Rebus tuna dalam air hingga empuk. Tiriskan dan potong.', 'Dalam wajan yang sudah diolesi sedikit minyak, tumis bahan lainnya hingga harum.', 'Tambahkan tuna dan aduk.', 'Didihkan selama 5 menit.']",417 kj,"0,63g","7,04g","18,39g",100 kkal,"0,175g",0,"0,212g","0,124g",10mg,"1,9g","15,24g",35mg,311mg
Nasi Goreng Sayuran,"['Makan Pagi', 'Makan Siang', 'Hidangan Utama', 'Lauk Pauk']",1 porsi,10 menit,10 menit,"['1 besar telur', '1 mangkok,masak nasi putih', '100 gram wortel', '100 gram selada kol', '1 sdm sambal goreng', '100 gram sawi hijau']","['Dalam wajan antilengket, kocok telur.', 'Tambahkan nasi dan saus sambal. Mengaduk.', 'Masukkan sayuran dan aduk rata.', 'Bumbui sesuai selera.']",1741 kj,"8,87g","15,58g","70,19g",416 kkal,"2,16g",0g,"2,497g","2,968g",228mg,6g,"6,68g",943mg,912mg
Rebusan Tahu dengan Kecambah,"['Makan Siang', 'Sup', 'Lauk Pauk']",4 porsi,10 menit,20 menit,"['120 gram kecambah', '1 sdt garam', '2 siung bawang putih', '1/2 utuh sedang tomat merah', '500 ml air', '157 gram tahu', '7 ml minyak goreng', '7 g saos tiram']","['Potong tahu dan sayuran.', 'Panaskan minyak dalam wajan dan tumis bawang putih sampai keemasan.', 'Tambahkan air dan biarkan mendidih.', 'Masukkan sisa bahan dan bumbui. Masak sampai empuk.']",256 kj,"3,83g","4,44g","3,65g",61 kkal,"0,936g",0g,"0,699g","0,999g",0mg,1g,"1,46g",684mg,124mg
Roti Pisang Havermut,"['Roti & Produk Panggang', 'Makanan Ringan', 'Makan Pagi']",2 porsi,20 menit,20 menit,"['50 g telur', '1 sejumput garam', '1/2 sdt ekstrak vanila', '120 gram pisang', '1/2 sdt baking soda', '1 sdm madu', '30 g havermut instan', '20 g cokelat hitam & granola almond']","['Hancurkan pisang dan campur dengan telur, vanila, dan madu.', 'Tambahkan oatmeal, garam, dan soda kue.', 'Tuang ke dalam cetakan roti dan taburi dengan granola.', 'Panggang dalam oven dengan suhu 180°C selama 20 menit atau hingga adonan tidak lengket lagi.', 'Biarkan dingin sebelum membuka cetakan dan mengiris.']",971 kj,"5,86g","7,3g","39,64g",232 kkal,"1,722g",0g,"0,815g","1,616g",106mg,"4,2g","17,62g",456mg,256mg
Goreng Labu dengan Jagung,"['Makan Siang', 'Makan Pagi', 'Makanan Ringan', 'Lauk Pauk']",6 porsi,20 menit,15 menit,"['1 besar telur', '1 gelas jagung', '1 sdt bawang putih bubuk', '1 sdt, tumbuk oregano', '1 sejumput lada hitam', '100 gram labu', '1 sdm minyak zaitun extra virgin', '100 g tepung terigu']","['Potong dadu labu, rebus dengan air hingga empuk, tiriskan.', 'Campur dalam blender dengan bahan lain, kecuali tepung dan minyak.', 'Masukkan tepung dan aduk hingga rata.', 'Masak dalam wajan dengan minyak sampai berwarna keemasan dan kencang.']",507 kj,"3,93g","3,82g","19,07g",121 kkal,"0,656g",0,"0,276g","0,411g",35mg,1g,"1,24g",16mg,148mg
Roti Pisang dan Keju,"['Makanan Ringan', 'Makan Pagi']",1 porsi,10 menit,5 menit,"['100 g pisang', '30 g keju quick leleh', '1 lembar roti tawar gandum']","['Iris pisang dan parut keju.', 'Susun di atas roti.', 'Masak dalam penggorengan udara pada suhu 190°C selama 5 menit.']",1172 kj,"8,75g",9g,"41,5g",280 kkal,"5,5g",0g,0,0,0mg,4g,5g,495mg,0
Pancake Protein Oat,"['Makanan Ringan', 'Makan Pagi']",4 porsi,10 menit,5 menit,"['1 besar telur', '1/2 gelas air', '35 g oat gulung biasa', '2 ml pemanis', '1 sendok air dadih coklat', '3 g bubuk pengembang']","['Giling oat hingga menjadi bubuk lalu campurkan dengan bahan kering lainnya.', 'Campur semuanya sampai halus.', 'Masak dalam wajan antilengket sampai keras di kedua sisi.']",362 kj,"1,62g","8,57g","8,3g",86 kkal,"0,638g",0g,"0,17g","0,476g",68mg,"2,8g","0,84g",38mg,17mg
Brownies Oatmeal,"['Makanan Penutup', 'Makanan Ringan', 'Makan Pagi']",4 porsi,20 menit,15 menit,"['1 sedang telur', '2 kecil pisang', '1/2 sdt baking soda', '4 sdt gula pasir', '1 sdm minyak goreng', '44 g instant oatmeal', '9 g cocoa powder', '58 ml susu uht kids cokelat', '4 g baking powder']","['Giling oatmeal dalam blender. Menyisihkan.', 'Tumbuk pisang.', 'Campurkan semua bahan dengan baik.', 'Masukkan adunan ke dalam acuan dan kukus selama 15 minit.', 'Biarkan ia sejuk, buang acuan dan potong.']",689 kj,"5,4g","4,4g","26,59g",165 kkal,"1,83g",0g,"1,502g","1,283g",47mg,"3,4g","12,2g",178mg,216mg
Mangkuk Sushi Salmon,"['Hidangan Utama', 'Makan Siang']",1 porsi,15 menit,0 menit,"['87 gram ikan salmon panggang', '5 ml kecap', '2 g nori', '180 g wijen panggang mayones', '40 g nasi porang']","['Suwir salmon yang sudah matang menggunakan garpu.', 'Masukkan nasi ke dalam mangkuk.', 'Tambahkan semua bahan dan hiasi dengan nori.']",3314 kj,"67,38g","22,58g","7,56g",792 kkal,"13,141g",0g,"2,286g","2,38g",54mg,"0,4g","0,83g",1568mg,344mg
"Salad Sayur dengan Ayam, Tahu, dan Tempe","['Salad dan Salad Dressing', 'Makan Siang', 'Makanan Ringan']",2 porsi,10 menit,20 menit,"['70 gram daging ayam (panggang, bakar, dimasak)', '100 gram kubis', '100 gram selada daun hijau', '50 gram tempe', '100 gram tahu', '20 g saus salad pulau seribu']","['Potong-potong ayam, tahu, dan tempe. Masak dalam wajan antilengket sampai empuk.', 'Masukkan semua bahan ke dalam mangkuk.', 'Sajikan sampai segar.']",816 kj,"9,88g","18,78g","9,58g",195 kkal,"1,746g",0g,"2,316g","2,878g",28mg,2g,"3,9g",136mg,514mg
Bihun dengan Sayuran,"['Makan Siang', 'Makan Pagi', 'Makanan Ringan']",1 porsi,10 menit,10 menit,"['60 gram carrots', '60 gram broccoli (with salt, drained, cooked, boiled)', '55 g bihun rasa ayam bawang']","['Masak mie sesuai petunjuk kemasan.', 'Rebus sayuran selama 5 menit.', 'Campur mie dan sayuran, bumbui sesuai keinginan, dan sajikan.']",1013 kj,"3,85g","4,35g","47,79g",242 kkal,"0,054g",0g,"0,17g","0,022g",0mg,"3,7g","4,55g",888mg,368mg
Nasi Pizza dengan Ayam dan Sayuran,"['Hidangan Utama', 'Makan Siang', 'Makanan Ringan']",3 porsi,10 menit,20 menit,"['100 gram dada ayam', '1 kecil telur', '200 gram nasi putih', '10 gram wortel dimasak', '10 gram buncis', '2 sdm mentega', '3 g kaldu jamur']","['Potong dadu dada ayam dan wortel.', 'Rebus dalam air bersama dengan buncis selama 10 menit.', 'Giling semuanya dalam blender (kecuali mentega).', 'Panaskan wajan dengan mentega dan masak campuran sampai berwarna keemasan.']",978 kj,"11,46g","13,29g","19,4g",234 kkal,"3,84g",0,"2,128g","4,899g",80mg,"0,5g","0,28g",497mg,136mg
Kari Tuna,"['Makan Siang', 'Hidangan Utama']",7 porsi,10 menit,30 menit,"['400 gram ikan tuna', '6 gram cabai merah atau rawit', '2 gram kunyit', '3 g stevia sweetener', '10 g santan bubuk', '9 g bumbu gulai']","['Campur bubuk dan larutkan dengan air secukupnya.', 'Masukkan ke dalam panci dan didihkan sambil diaduk.', 'Tambahkan tuna dan merica. Masak hingga empuk.']",319 kj,"1,36g","13,63g","2,24g",76 kkal,"0,743g",0g,"0,24g","0,116g",26mg,"0,6g","0,38g",159mg,278mg
Toge Telur,"['Makanan Pembuka', 'Hidangan Utama', 'Lauk Pauk']",1 porsi,5 menit,15 menit,"['1 besar egg', '150 gram sprouts', '100 ml water', '50 g bakso daging sapi', '2 sdm saos tiram', '1 bungkus level 30', '1 sdm kecap manis sedaap']","['Rebus air, masukkan toge.', 'Potong potong bakso, kocok telur lalu masukkan ke rebusan air.', 'Tambah kecap, saori dan sedikit bubuk cabai. Rebus hingga matang.']",1054 kj,"6,84g","21,9g","26,73g",252 kkal,"2,788g",0g,"1,075g","1,968g",212mg,"3,3g","18,14g",1138mg,249mg
Smoothie Buah Naga dan Pisang,"['Makan Pagi', 'Makanan Ringan']",2 porsi,15 menit,0 menit,"['2 sedang pisang', '130 ml yakult', '1 mangkok buah naga', '20 g cinnamon & raisin', '70 g squeeze yogurt peach']","['Potong pisang dan buah naga.', 'Masukkan kesemuanya ke dalam pengisar dan kisar sehingga sebati.', 'Tempatkan dalam mangkuk dan hiasi dengan granola dan buah sesuai keinginan. Nikmati sarapan Anda.']",1172 kj,"3,48g","4,98g","60,4g",280 kkal,"1,177g",0g,"0,233g","0,096g",0mg,"5,6g","38,44g",36mg,642mg
Bolu Oatmeal Pisang Cokelat,"['Roti & Produk Panggang', 'Makan Pagi', 'Makanan Ringan']",12 porsi,15 menit,30 menit,"['50 gram egg', '375 gram banana', '10 g cocoa powder', '150 g whole rolled oats', '5 g coconut sugar', '50 g choco chips', '2.5 g baking powder']","['Haluskan pisang.', 'Campur semua bahan.', 'Panggang selama 30 menit pada suhu 170°C.', 'Hasilnya jadi 2 loyang bisa dibagi 12 potong.']",442 kj,"2,83g","2,96g","18,69g",106 kkal,"0,432g",0g,"0,08g","0,381g",18mg,"2,9g","6,24g",469mg,117mg
Bolu Tape,['Roti & Produk Panggang'],16 porsi,20 menit,50 menit,"['6 besar telur', '210 gram gula pasir', '300 gram tape singkong', '150 g margarine', '210 g tepung terigu', '80 ml susu uht low fat', '10 g baking powder']","['Lumatkan tape dengan susu, sisihkan.', 'Kocok telur dan gula hingga putih kental berjejak.', 'Masukan tape yang sudah dilumatkan ke dalam adonan telur aduk rata.', 'Masukan terigu dan baking powder ke dalam adonan aduk rata.', 'Terakhir masukan margarine dalam adonan aduk rata  jangan sampai ada cairan yang mengendap di bawah adonan.', 'Tuang dalam loyang panggang dengan suhu 160°C selama 50menit atau sampai bolu matang.', 'Tes kematangan bolu dengan menusuk bolu jika sudah tidak ada adonan menempel maka bolu matang sempurna.']",974 kj,"9,31g","4,27g","31,3g",233 kkal,"4,81g",0g,"0,278g","0,742g",80mg,"0,3g","13,42g",131mg,63mg
Ayam Rica Rica,"['Hidangan Utama', 'Makan Siang']",5 porsi,30 menit,20 menit,"['306 gram ayam', '35 gram cabai merah atau rawit', '15 gram kemangi', '10 gram bawang putih', '3 gram jahe', '9 gram kacang kemiri', '1/2 sdt gula pasir', '1 sdt garam laut', '15 gram bawang merah', '2 g royco ayam', '2 sendok makan minyak goreng sawit', '5 gram lengkuas']","['Cuci bersih ayam lumuri garam dan royco diamkan 30 menit lalu kukus hingga matang.', 'Haluskan cabai, bawang merah, bawang putih, jahe, kemiri, dan lengkuas.', 'Panaskan minyak, tumis bumbu halus masukan gula pasir, tumis hingga harum tambahkan sedikit air, masukan ayam masak hingga air susut.', 'Terakhir masukan daun kemangi, masak hingga matang angkat sajikan.']",915 kj,"14,4g","17,83g","5,88g",219 kkal,"4,245g",0g,"3,199g","5,775g",53mg,"2,3g","1,4g",827mg,314mg
Kue Pisang Kukus,"['Makanan Ringan', 'Makan Pagi', 'Makanan Penutup']",2 porsi,15 menit,20 menit,"['1 besar telur', '1 sdt kayu manis', '2 sedang pisang', '1 sdm margarin', '70 g oat', '50 ml skimmed milk']","['Tumbuk pisang.', 'Tambahkan sisa bahan dan aduk rata.', 'Tuang ke dalam cetakan dan hiasi sesuai keinginan. Kukus selama kurang lebih 20 menit.']",1477 kj,"12,91g","9,28g","53,26g",353 kkal,"1,414g",0g,"0,433g","2,496g",106mg,"6,6g","15,84g",120mg,492mg
Oat Panekuk,"['Makan Pagi', 'Makanan Ringan', 'Makanan Penutup']",5 porsi,10 menit,15 menit,"['1 besar telur', '1/4 cangkir instant oatmeal', '80 ml chocolate drink']","['Haluskan oatmeal hinggah tekstur menjadi tepung.', 'Tambahkan sebutir telur dan aduk rata.', 'Tambahkan chocolatos dan aduk.', 'Masak di atas pan anti lengket hingga matang kedua sisinya.']",228 kj,"1,87g","2,44g","7,1g",54 kkal,"0,588g",0g,"0,336g","0,681g",42mg,"0,6g","1,23g",18mg,33mg
Sawi Isi Ayam Udang,"['Hidangan Utama', 'Lauk Pauk']",2 porsi,20 menit,20 menit,"['50 gram dada ayam', '5 sedang udang', '40 gram sawi dimasak (dari segar)', '1 sdt garam', '1 sdt minyak wijen', '10 gram wortel', '1 sdt gula pasir', '1.5 g lada putih bubuk', '15 g saus bumbu rasa tiram', '30 ml kecap asin', '7 g sajiku tepung bumbu serbaguna']","['Kukus sawi hingga lunak, diamkan.', 'Giling semua bahan (selain sawi) menggunakan chopper.', 'Lebarkan lembaran sawi, beri adonan hasil gilingan, gulung.', 'Kukus selama 20 menit.']",548 kj,"4,94g","12,51g","9,82g",131 kkal,1g,0g,"1,614g","1,871g",46mg,"0,7g","4,62g",2628mg,121mg
Tumis Brokoli,"['Lauk Pauk', 'Makan Siang', 'Makan Pagi']",3 porsi,10 menit,15 menit,"['250 gram brokoli', '160 gram wortel', '3 siung bawang putih', '1/2 sdt gula pasir', '1 sejumput garam laut', '2 kecil bawang merah', '2.5 g kaldu jamur']","['Rebus wortel dan brokoli, tujuannya supaya empuk dan matang merata ketika ditumis.', 'Tumis bawang merah dan bawang putih yang sudah dicincang pada teflon anti lengket tanpa menggunakan minyak masak.', 'Setelah bumbu matang, masukkan wortel dan brokoli yang sudah direbus, aduk merata sambil ditambahkan gula, garam dan kaldu jamur.', 'Tumis brokoli siap disajikan.']",329 kj,"0,52g","3,49g","17,22g",79 kkal,"0,067g",0g,"0,13g","0,028g",0mg,"4,4g","6,56g",130mg,513mg
